start_time,sat,supra_MeV_flux
2021-05-13T09:14:58.851,A,1.6515126719802248e6
2021-05-05T14:38:23.256,A,1.6434761039474949e6
2021-12-16T19:25:19.739,A,1.6087833172621583e6
2021-06-26T15:10:16.751,A,1.556362739308905e6
2021-08-28T23:46:24.405,A,1.541020505031958e6
2022-04-17T18:04:57.081,A,1.5009473029030699e6
2021-06-26T15:10:36.308,A,1.4922745572639406e6
2022-03-26T05:05:17.391,A,1.477980794402645e6
2022-04-20T08:59:35.173,A,1.4696157449145904e6
2022-02-03T11:01:15.843,A,1.462901239305377e6
2021-04-03T05:23:15.694,A,1.4565032728819475e6
2021-07-07T06:03:44.879,A,1.4423525430356322e6
2022-04-07T13:02:14.291,A,1.433774794322241e6
2021-05-28T22:21:03.057,A,1.4160750455834433e6
2021-08-24T04:52:24.900,A,1.4009823508563763e6
2022-04-07T13:06:21.992,A,1.3920275340136203e6
2022-03-09T12:45:10.149,A,1.391337802804834e6
2021-07-17T19:41:28.269,B,1.374629018988844e6
2021-12-16T05:40:25.373,A,1.348401296937863e6
2021-12-16T19:27:35.122,A,1.3366206522362002e6
2021-06-26T15:10:29.401,A,1.316598747510022e6
2022-02-10T18:01:09.833,A,1.2984287475642455e6
2022-03-21T10:53:54.642,A,1.2962756823762436e6
2022-03-25T16:45:32.306,A,1.2960598997896835e6
2022-04-17T17:59:50.275,A,1.290170887081421e6
2022-05-03T18:59:01.767,A,1.290170887081421e6
2021-12-01T17:51:56.313,A,1.2841715226653945e6
2021-10-24T18:26:54.359,A,1.2701378570373047e6
2022-04-22T08:47:52.836,A,1.2609297264558107e6
2022-03-09T12:59:57.764,A,1.2589794800040666e6
2022-03-30T15:31:38.958,A,1.245328080753882e6
2022-03-09T12:48:38.795,A,1.2362154556970124e6
2022-05-03T18:59:44.057,A,1.2240560439037355e6
2022-04-16T02:03:37.175,A,1.2068698061238846e6
2022-03-24T05:11:51.968,A,1.2034984909783446e6
2022-02-04T15:17:32.015,B,1.1940197263134443e6
2022-05-03T19:01:54.832,A,1.1750756314127725e6
2022-02-12T22:46:57.319,A,1.1640407097458495e6
2021-08-24T04:52:20.357,A,1.1529166214556077e6
2022-01-31T05:32:06.998,A,1.15082338412693e6
2021-06-07T12:22:28.400,A,1.1418025576594528e6
2022-03-24T05:12:34.083,A,1.1336853474854005e6
2021-10-22T01:42:53.907,A,1.1172217070538562e6
2021-05-28T22:20:28.237,A,1.1140764384263952e6
2022-04-06T14:06:46.505,A,1.104561067501831e6
2021-05-29T23:11:47.602,A,1.101997433419446e6
2022-02-03T10:58:12,A,1.101400557771716e6
2022-03-30T15:31:22.080,A,1.0989150364874268e6
2022-04-27T01:34:40.026,A,1.093853277104425e6
2022-04-29T01:02:46.343,A,1.0921776116277364e6
2021-06-30T01:32:43.622,A,1.0915705161429932e6
2021-10-21T02:33:23.836,A,1.0726592822610536e6
2021-11-06T09:19:36.415,A,1.0615585912834718e6
2022-02-24T11:12:31.299,A,1.0555734631384665e6
2021-12-16T05:39:05.708,A,1.0464434229125724e6
2021-05-26T22:09:18.491,A,1.0415182785483169e6
2021-04-27T00:53:15.379,A,1.0390127959189415e6
2021-05-28T22:20:12.388,A,1.0359177129355362e6
2022-03-24T05:15:02.752,A,1.0318569281282593e6
2021-12-06T00:54:25.857,A,1.0313175559751221e6
2022-04-06T14:07:07.025,A,1.0193365760353111e6
2022-04-21T02:21:01.388,A,1.0124596461113994e6
2022-02-10T18:01:14.115,A,1.0085032892652296e6
2022-04-21T02:18:27.166,A,1.0079361105484772e6
2021-10-21T02:27:46.539,A,1.0058956555195131e6
2022-03-26T01:50:19.369,A,1.004705229489055e6
2021-10-12T11:06:44.222,A,1.0030317428764536e6
2022-04-21T02:18:10.096,A,1.0020634377521576e6
2022-04-07T13:06:09.398,A,994723.4264380371
2022-04-20T15:37:43.989,A,986178.7102443511
2022-04-07T13:06:52.634,A,982853.9938392895
2022-02-12T22:41:02.169,A,981284.84032901
2022-02-12T22:50:20.044,A,969454.9053455933
2022-02-12T22:50:34.522,A,969454.9053455933
2022-04-05T16:33:33.432,A,948797.9534089516
2022-04-23T15:47:38.388,A,947243.1489622524
2020-09-26T13:28:10.923,B,946725.8141806655
2022-04-06T14:07:18.705,A,940298.3451847045
2021-05-25T19:44:17.749,A,939841.2636348724
2020-09-26T13:28:12.366,B,937632.0216668561
2022-03-21T10:53:50.314,A,926104.0499537652
2022-02-12T22:47:02.494,A,924980.321040747
2022-04-12T14:48:21.144,A,924130.0563701293
2022-01-25T22:52:09.056,A,919452.3701138203
2021-05-28T22:15:18.966,A,917749.3663201447
2022-03-09T12:59:47.256,A,917170.6159595947
2022-03-21T10:55:41.698,A,914841.3023993521
2021-10-21T02:34:16.330,A,914479.0333557678
2022-04-05T16:33:32.968,A,900368.2909533698
2022-03-25T16:42:25.329,A,899384.0483719641
2021-07-25T21:32:41.499,A,891121.8580086181
2022-03-14T19:38:00.950,A,870775.9932891175
2022-02-04T18:21:10.897,B,867469.1480634062
2021-07-12T07:20:22.538,A,865396.9337412233
2021-12-21T12:19:59.240,A,865388.1436929381
2021-10-22T01:49:13.429,A,865388.1436929381
2022-02-11T03:04:21.476,A,862552.4638040343
2022-01-31T05:32:16.076,A,859617.5969945526
2022-02-24T11:08:31.758,A,859293.3840538514
2021-10-21T02:33:41.458,A,856220.0033311158
2022-04-03T18:03:58.511,A,855840.0790934619
2021-07-27T19:02:30.938,B,851882.4935851571
2021-05-25T19:41:09.199,A,851262.6917364867
2022-02-04T15:17:49.156,B,850817.5007556468
2021-12-17T12:27:33.501,A,849155.6613666415
2021-05-28T22:12:58.029,A,847842.8473142763
2022-02-24T11:06:32.327,A,847221.8439030213
2022-03-09T12:46:17.269,A,847206.9938214478
2022-04-03T18:02:48.214,A,843375.8077762299
2022-03-18T08:35:26.330,A,836940.2516542902
2022-02-04T18:21:30.887,B,831911.2304115247
2022-03-09T12:44:57.177,A,829766.818020227
2021-06-12T22:53:21.512,A,829128.0340193298
2022-03-09T12:44:47.920,A,826568.2604501221
2022-01-06T13:41:00.264,A,825117.1307703392
2021-12-22T05:52:36.691,A,821306.3515457519
2022-04-17T18:00:24.852,A,818566.7364966797
2022-02-12T22:40:46.916,A,817798.1172745513
2021-10-23T02:35:22.875,A,813538.8288777099
2021-10-24T18:27:39.443,A,804391.6586310791
2022-04-06T14:10:40.010,A,802466.3455336281
2022-04-27T01:35:04.724,A,794751.7488135315
2021-10-22T01:38:50.244,A,794458.2318513228
2021-06-12T22:54:14.312,A,790927.5414238633
2022-02-24T10:56:59.670,A,789147.7348941651
2022-02-24T10:57:25.833,A,789147.7348941651
2022-04-16T02:03:52.141,A,788885.199358374
2022-04-17T18:00:42.092,A,788541.9115662965
2022-02-12T22:47:42.501,A,781510.5029418274
2022-04-12T14:49:17.816,A,780310.2263485474
2021-07-12T07:14:27.097,A,779379.8012970703
2022-02-12T22:46:28.744,A,774000.8616903626
2022-02-12T22:46:07.194,A,773994.6216560851
2021-10-05T01:22:05.093,A,771893.274755172
2022-03-17T10:55:56.956,A,771486.9248079823
2021-10-23T02:33:48.866,A,766676.9514591432
2021-05-28T22:19:12.479,A,764425.5638696365
2022-01-25T22:57:15.698,A,762884.2697526078
2022-05-03T18:58:29.264,A,753633.5998102662
2022-01-31T05:34:06.492,A,747973.4687184083
2022-01-31T05:34:16.118,A,747973.4687184083
2020-10-23T20:54:58.161,A,745169.057109139
2021-10-21T02:36:57.692,A,744841.9915167848
2021-10-21T02:37:13.914,A,744841.9915167848
2021-07-12T07:19:00.135,A,744829.0314455932
2021-07-12T07:19:04.840,A,744829.0314455932
2022-04-20T15:37:45.856,A,738638.1430330628
2021-08-11T02:35:36.154,A,737571.1871191461
2021-05-29T23:11:27.133,A,734648.115520459
2021-12-06T00:54:38.696,A,731308.2721742524
2022-04-21T02:18:34.676,A,728108.9195997803
2022-03-30T15:33:11.992,A,727838.9112238684
2022-03-30T14:01:46.673,A,722528.4431317749
2022-04-17T18:04:57.730,A,719934.6540119806
2022-01-31T05:31:50.876,A,719386.5690927566
2021-12-06T00:54:15.432,A,718803.8734859162
2021-10-21T02:33:06.764,A,715110.1781959534
2022-02-12T22:41:42.351,A,712450.5135860596
2022-03-09T12:48:53.477,A,711911.5756256011
2022-03-09T12:55:10.170,A,704133.590400087
2021-07-17T19:41:26.844,B,703531.6827130239
2021-05-25T19:41:47.455,A,702326.8679755188
2022-03-30T15:33:23.326,A,699108.2252950836
2021-05-26T22:04:34.025,A,698372.0946997055
2021-06-26T15:09:20.576,A,698115.5048419372
2022-03-14T19:38:18.456,A,696618.5266188355
2021-10-22T01:52:45.638,A,696584.5664322876
2021-10-22T01:52:26.404,A,696573.2263699952
2022-02-03T10:49:09.078,A,688110.4348827485
2021-06-26T15:16:41.320,A,687649.8573527344
2021-06-26T15:17:01.426,A,687649.8573527344
2022-09-08T07:23:03.895,A,682218.8906183089
2022-03-18T08:36:50.803,A,681645.044834024
2022-02-24T11:13:23.596,A,676623.0034464111
2022-04-27T01:29:28.994,A,660035.9835912558
2022-03-23T13:37:38.234,A,655722.0989716782
2022-02-03T10:49:22.490,A,654586.9607338165
2021-10-22T01:53:41.907,A,654179.9034977966
2021-10-22T01:54:02.891,A,654179.9034977966
2021-05-28T22:21:49.463,A,653817.6127847407
2021-05-25T19:41:34.858,A,652000.6078870365
2022-01-31T05:33:59.227,A,651553.9590731324
