start_time,sat,supra_MeV_flux
2020-02-19T21:47:34.627,B,844.5458642578125
2021-11-11T02:23:56.252,B,844.5455840943453
2021-04-23T11:53:55.979,B,844.5168949996306
2021-04-23T04:55:38.125,B,844.5111845022932
2021-11-14T00:11:07.792,B,844.4886141838464
2021-03-03T15:49:48.809,B,844.4632052861675
2021-04-23T11:17:39.558,A,844.4500710027968
2021-04-25T13:04:01.382,A,844.3045734091045
2021-11-14T21:13:29.639,A,844.2851399008055
2021-04-19T06:02:27.085,B,844.2517636463709
2022-02-10T16:28:53.643,A,844.2156057848499
2021-04-29T08:48:39.377,A,844.1406632412879
2022-02-05T06:32:18.003,B,844.1254474760391
2021-05-11T03:00:13.024,B,844.0957967263229
2022-02-05T06:31:46.519,B,844.0862015760318
2021-11-20T19:50:03.462,A,844.0104097749676
2021-06-01T18:54:30.880,A,843.9962252890393
2020-10-25T20:50:28.195,B,843.9862364089486
2021-05-12T03:51:45.534,B,843.926731704922
2021-04-24T01:22:33.193,A,843.9164782485802
2021-03-05T22:21:30.403,B,843.8604101094111
2022-08-22T21:20:19.892,A,843.8266119524449
2021-04-21T07:01:02.510,B,843.823076148997
2021-11-13T21:56:48.770,A,843.8055274034069
2021-06-21T04:45:46.737,B,843.7321062099159
2021-05-06T21:02:50.459,A,843.7248747432724
2020-02-24T01:37:17.933,B,843.6767944335937
2021-05-03T15:16:28.847,A,843.6659071899378
2020-10-07T23:11:07.316,A,843.5955784649838
2021-10-12T04:01:07.789,A,843.5919022029294
2020-11-08T09:26:27.815,A,843.5719976693049
2020-02-19T21:48:02.408,B,843.5651293945311
2021-05-24T21:15:29.693,A,843.5638807346015
2021-04-21T03:21:14.928,A,843.5598755416811
2021-11-06T20:49:19.237,B,843.5521773975022
2020-10-03T05:02:37.696,B,843.5390339573908
2022-08-19T06:06:45.907,B,843.5163472756717
2021-05-05T03:00:02.614,A,843.4959687749885
2020-08-11T05:13:26.893,B,843.4957425684393
2022-08-28T07:11:34.886,A,843.4739850073679
2020-07-26T02:35:42.929,B,843.4671531811819
2021-03-06T05:15:46.707,A,843.4449065657213
2022-01-21T19:03:51.449,A,843.4329319328723
2022-03-11T14:36:03.007,A,843.389397321775
2020-11-08T09:25:47.765,A,843.3616015794078
2022-06-02T22:41:04.633,A,843.316669876031
2020-09-30T21:19:48.993,A,843.3121135994276
2020-06-02T21:19:19.301,A,843.29351185342
2021-09-06T09:43:51.071,B,843.2766091166026
2020-02-24T01:37:37.583,B,843.275302734375
2021-12-09T00:52:48.049,A,843.2280693903656
2021-11-27T22:21:05.723,A,843.1578241773024
2021-10-13T02:56:50.074,A,843.144848213298
2021-11-08T19:21:40.538,B,843.1186086865873
2022-03-08T02:55:58.920,A,843.1137116710426
2020-10-07T23:11:04.491,A,843.1126619653915
2021-03-29T09:48:43.338,B,843.0847479948409
2021-11-30T23:11:23.377,A,843.0357135636314
2021-11-09T03:50:38.329,B,842.9639870779115
2021-04-20T11:01:46.886,A,842.9607117890998
2021-09-25T07:47:22.640,A,842.8944653384261
2021-11-07T02:11:54.035,B,842.8772177813485
2021-11-13T05:35:51.442,B,842.8356534456991
2021-04-21T07:00:48.373,B,842.8241528814794
2020-02-19T15:36:48.821,B,842.8026489257812
2020-02-24T01:37:01.095,B,842.7537890624999
2021-08-28T16:02:38.203,B,842.704773913328
2020-09-30T01:08:29.545,A,842.6863900277785
2020-10-01T06:45:21.177,A,842.6715565734208
2021-11-10T00:53:06.190,A,842.6400823290148
2021-07-27T00:38:22.803,A,842.5849150211535
2020-02-19T15:36:21.052,B,842.497646484375
2022-06-15T23:00:10.311,B,842.4766260225791
2021-05-06T17:55:24.077,A,842.4642834086158
2020-10-04T23:32:52.507,A,842.4630658986166
2022-09-08T07:25:27.765,A,842.447526196423
2021-11-16T01:04:21.124,A,842.3483960362929
2020-10-17T02:55:24.468,A,842.345536556822
2020-09-11T12:26:14.802,A,842.3220965500474
2021-11-19T22:05:59.630,A,842.3085005453244
2021-06-22T16:45:48.351,A,842.2933856907603
